,Название фильма,Дата начала показа фильма,Аннотация,Вид Фильма,Категория,Цвет,"Продолжительность демонстрации, часы","Продолжительность демонстрации, минуты",Формат носителя,Студия-производитель,Страна производства,Год производства,Режиссер,Художник,Сценарист,Оператор,Композитор,Продюсер,Возрастная категория
344846,Псы под прикрытием,2018-05-31,Собачье шоу.,Художественный,Кино,Цветной,1.0,92.0,HDD,"Оупен Роуд Интернэшнл, Риверстоун Пикчерз",США - Великобритания,2018,Раджа Госнелл,"Аманда МакАртур, Роберт Хэйнс","Макс Боткин, Марк Хаймен",Дэвид Маки,Эйтор Перейра,"Дипак Найар, Филип фон Алвенслебен",6+
344848,История одного назначения,2018-06-02,"Драма. Простая жизненная история о том, как прекрасные душевные порывы хороших людей приводят к трагическим последствиям. История начинается легко и весело, а заканчивается страшно. Драма одного расстрела в царской армии времени царствования Александра II",Художественный,Кино,Цветной,1.0,113.0,HDD,"ООО Кинокомпания ""Глобус-фильм""",Россия,2018,А.Смирнова,А.Каримулина,"А.Пармас, А.Смирнова",М.Осадчий,"В.Вакуленко, А.Голубенко","Н.Смирнова, А.Чубайс, С.Сельянов, В.Шамликашвили, О.Барковская",12+
344850,Невероятные приключения Факира,2018-06-07,Экранизация,Художественный,Кино,Цветной,1.0,92.0,HDD,"Брио Фильм, Литл Ред Фильм",Франция - США,2018,Кен Скотт,Валери Раншу,"Люк Босси, Джон Голдман, Ромэн Пуэртолас",Венсан Матиа,Николас Эррера,"Адити Ананд, Люк Босси, Саурабх Гупта",16+
344851,Невидимка,2018-06-28,Опасный мир теневого Лондона,Художественный,Кино,Цветной,1.0,90.0,HDD,Фор Ту,Великобритания - США,2018,Энтони Бирн,Йос Ричардсон,"Энтони Бирн, Натали Дормер",Си Белл,Ниал Бирн,"Энтони Бирн, Джош Вэрни, Натали Дормер, Бен Паг ",16+
344852,От семьи не убежишь,2018-05-31,Комедия,Художественный,Кино,Цветной,1.0,106.0,HDD,"Ле Продюксьон дю Шими, Патэ",Франция,2018,Дэни Бун,"Стефани Бертран, Херв Галле","Дэни Бун, Сара Камински",Дени Руден,"Максим Депре, Мишель Торджман","Дэни Бун, Эрик Юбер",16+
344855,Истории призраков,2018-05-31,Фильм ужасов,Художественный,Кино,Цветной,1.0,98.0,HDD,"Варп Филмз, Алтитьюд Филм Интертейнмент, Каталист Глобал Медиа, Лионсгейт",Великобритания,2017,"Джереми Дайсон, Энди Найман",Грант Монтгомери,"Джереми Дайсон, Энди Найман",Оле Брэтт Биркеланд,Хаим Фрэнк Ильфман,"Питер Балм, Робин Гатч, Клер Джонс ",16+
344857,"Мектуб, моя любовь",2018-07-26,Летние каникулы.,Художественный,Кино,Цветной,2.0,174.0,HDD,"Патэ, Сине +, Канал +, Национальный центр кинематографии, Франс 2 Синема, Франс Телевизьон, Гуд Фильм, Куатсу Фильм, Прованс-Альп-Кот Дозер ",Франция - Италия,2017,Абделатиф Кешиш,Энн Чакраверти,"Франсуа Бегодо, Абделатиф Кешиш, Галия Лакруа",Марко Грациаплена ,,"Абделатиф Кешиш, Ардаван Сафэ, Жером Сейду",18+
344858,"Киноальманах ""Свидетели""",2018-06-05,Киноальманах,Художественный,Кино,Цветной,1.0,115.0,Другой,"ООО ""Корпорация Русская Фильм Группа"", ООО ""Русская Фильм Группа"", ООО ""Арк Пикчерс""",Россия,2018,К.Малкин-Фам,"О.Арзуманова, К.Ванасек, Ф.Лагунович-Черепко, Д.Стефанеску",К.Малкин-Фам,"А.Солов, С.Новиков, О.Джураев, М.Гайчак, М.Вихров и др.",Е.Романенко,"ООО ""Корпорация Русская Фильм Группа"", ООО ""Русская Фильм Группа"", ООО ""Арк Пикчерс"", ИП Петрухин А.А., ИП Малкин-Фам К.К-Т.",12+
344861,Лето (Leto),2018-06-04,О ранних этапах жизни В.Цоя,Художественный,Кино,Цветной,2.0,128.0,DPX,"ООО ""ХАЙПФИЛМ""",Россия,2018,К.Серебренников,А.Понкратов,"М.Зильберман (псевдоним М.Идов), Л.Любарская (псевдоним Л.Идова), К.Серебренников",В.Опельянц,,"И.Стюарт, М.Османн, П.Буря, М.Финогенов",18+
344863,Подбросы,2018-06-07,"Драма о молодом человеке, который волею судьбы оказался в центре коррупционной преступной схемы.",Художественный,Кино,Цветной,1.0,88.0,HDD,"ООО ""Компания ""Новые люди""",Россия,2018,И.Твердовский,О.Коваленко,И.Твердовский,Денис Рамирес Аларкон,К.Рихтер,Н.Мокрицкая,18+
344864,Времена детства,2018-06-01,"Детский приключенческий фильм о невероятных перемещениях во времени, о радости детства в любую эпоху",Художественный,Кино,Цветной,1.0,107.0,DVD,"ООО ""Студия ""Мастер""",Россия,2018,А.Ким,О.Бакеркина,"А.Ким, М.Ермаков",С.Носов,О.Плясунов,А.Лекер,6+
344865,Новая Москва,2018-06-02,Фильм о Москве и его жителях.,Художественный,Кино,Цветной,0.0,18.0,DVD,ИП Шабаев Денис Сергеевич,Россия,2018,Т.Дондурей,,,Т.Дондурей,,Д.Шабаев,12+
344866,Мира,2018-06-04,"Документальный фильм о судьбе словака Миры Рогача, который решил восстанавливать памятники советской эпохи в Луганске",Документальный,Кино,Цветной,1.0,80.0,DVD,"ООО ""Компания ""Новые люди""",Россия,2018,Д.Шабаев,В.Архипов,Д.Шабаев,И.Шаталова,,Н.Мокрицкая,18+
344867,Варавва,,Историческая драма. Уникальный взгляд о смерти и воскрешении Христа глазами разбойника Варравы,Художественный,Кино,Цветной,1.0,115.0,DPX,"ООО ""Артворкс Фильм""""",Россия,2018,Е.Емелин,"Д.Приходько, Д.Кузьменко, В.Огай, А.Гапонов",Е.Емелин,А.Дейнеко,"А.Кендыш, О.Саксонов, А.Князев, К.Белоруссов","А.Кириллов, Е.Емелин",12+
344870,Развод,2018-06-01,Ироническая мелодрама,Художественный,Кино,Черно-белый,0.0,16.0,HDD,Шалаева Мария Александровна,Россия,2018,М.Шалаева,,М.Шалаева,А.Грицук,,М.Шалаева,16+
344873,Кто есть кто или ограбление по...,2018-06-04,Криминальная комедия,Художественный,Кино,Цветной,1.0,116.0,DVD,Храмых Сергей Владимирович,Россия,2018,С.Храмых,,С.Храмых,В.Розанов,"В.Каминский, А.Марцинкевич",С.Храмых,18+
344875,Гурвинек. Волшебная игра,2018-08-09,"Анимация для детей. Изменение названия по доп. соглашению №12 от 06.07.2018 (старое название: ""Гурвинек и волшебный музей"")",Анимационный,Кино,Цветной,1.0,75.0,HDD,"ООО ""КиноАтис"", Роллинг Пикчерс, Грид Анимэйшн",Россия,2018,"И.Евланникова, Д.Моллер, М.Котик",М.Заградник,"Н.Маковский, Д.Моллер, П.Неповим, Д.Хардер, М.Киршхер, О.Никифорова, А.Галанов, Д.Атабаев",,Й.Шкорпик,"М.Котик, В.Сотсков, С.Зернов, М.Мертенс, Я.Гуссен, А.Политовски, Ж.Ватеркейн",6+
344876,Крым. Крылья,2018-06-29,Документальный фильм,Документальный,Кино,Цветной,0.0,52.0,Другой,"ООО ""ВВП Альянс""",Россия,2017,А.Безрук,,Е.Козлова,А.Петренко,О.Борщевский (псевдоним - А.Мисько),"А.Казанкова, М.Королев",6+
344880,Сердце мира,2018-06-09,Драма,Художественный,Кино,Цветной,2.0,124.0,HDD,"ООО ""Кинокомпания ""СТВ""",Россия,2018,Н.Мещанинова,К.Шувалов,Н.Мещанинова,Е.Цветков,,С.Сельянов,18+
344881,Цветной Свет,2018-08-01,"Фэнтези, мелодрама",Художественный,Кино,Цветной,1.0,88.0,HDD,Новоселов Андрей Александрович,Россия,2018,А.Новоселов,,А.Новоселов,"Ю.Львов, А.Новоселов, С.Гарькавский, К.Шорин",А.Хвацкий,"А.Новоселов, Н.Соколова",18+
344882,Мёртвые ласточки,2018-06-07,Триллер о лесных злых духах.,Художественный,Кино,Цветной,1.0,93.0,DCP,"АО ""ТПО ""Киностудия им.М.Горького"", ООО ""ЭЙРФИЛЬМ""",Россия,2018,Н.Першина,И.Сапожникова,Н.Першина,М.Голубев,А.Супрунов,"С.Зернов, С.Кучмаева",12+
344883,Русалка. Озеро мертвых,2018-06-07,"Фильм ужасов о русалках, утаскивающих мужчин на дно.",Художественный,Кино,Цветной,1.0,87.0,HDD,"ООО ""СТГ МЕДИА"" по заказу ООО ""Киностудия КИТ""",Россия,2018,С.Подгаевский,А.Фатина,"И.Капитонов, С.Подгаевский, Н.Дубовая",А.Зенкович,"М.Кошеваров, А.Маев","ООО ""Киностудия КИТ""",16+
344884,Не чужие,2018-06-03,Социальная драма о семейных отношениях.,Художественный,Кино,Цветной,1.0,78.0,HDD,"ООО ""Продюсерский Центр ""Хорошо Продакшн""",Россия,2018,В.Глаголева,А.Гаврютин,О.Погодина,А.Носовский,С.Баневич,Н.Иванова,16+
344885,Глубокие реки,2018-06-06,Драма,Художественный,Кино,Цветной,1.0,74.0,DCP,"НФ ""Пример интонации  (Фонд Александра Сокурова)""",Россия,2018,В.Битоков,М.Малеев,В.Битоков,А.Демьяненко,М.Кабардоков,Н.Янкин,16+
344888,Просто Серёжа,2018-06-06,Документальный фильм. Светлой памяти Сергея Лазарука.,Документальный,Кино,Цветной,1.0,88.0,Другой,"ООО ""Киноглаз""",Россия,2018,Е.Тирдатова,,Е.Тирдатова,"А.Ларин, Д.Ермаков, М.Чернякевич",,Е.Тирдатова,12+
344891,Ван Гоги,2018-06-05,Драма,Художественный,Кино,Цветной,1.0,103.0,HDD,"ООО ""Кинодом""",Россия,2018,С.Ливнев,Э.Галкин,С.Ливнев,Ю.Клименко,"Л.Десятников, А.Сергунин","С.Бобза, С.Ливнев",16+
344893,50 весенних дней,2018-06-18,Воспитание ребенка.,Художественный,Кино,Цветной,1.0,89.0,HDD,"Каре Продюксьон, Франс 3 Синема, Национальный центр кинематографии, Нувей Аквитэн, Банк Посталь Имаж 9, Синевентюр 2, Кофимаж 28, Плюс Имаж 7, Канал +, Франс Телевизьон, Оранж Синема",Франция,2017,Бландин Ленуар,"Агата Бурге, Эрик Бурге, Марион Ле Борге","Анн-Франсуаза Брильё, Бландин Ленуар, Осеан Мишель",Пьер Милон,Бертран Белин,"Антуан Гандобер, Фабрис Голдштейн, Антуан Рейн",18+
344894,Лечение печали,2018-06-17,Экспериментальное кино,Художественный,Кино,Цветной,0.0,13.0,HDD,ИП Воробьева Мария Владимировна,Россия,2018,М.Воробьева,,М.Воробьева,К.Князев,Э.Буздыханов,М.Воробьева,16+
344895,Инсомния,2018-06-28,Фильм ужасов,Художественный,Кино,Цветной,1.0,106.0,HDD,"ФильмШаркс Интернэшнл, Вайт Филмз, Глориамунди Продюсьонес, Тандем Фильм, Бойфинге Интернэшнл, Пампа Фильм, Мадэ Супериэ, Институто Националь Сине и Арт Аудивизуалес, Институто Синематографиа и Арт Аудивизуалес, Мутер Супериор, Тьелесс Медиа ",Аргентина - Испания - Уругвай,2018,Густаво Эрнандес,"Марсела Бассано, Соня Нойя",Юма Фодде,Гиллермо Ниэто,Альфонсо Гонсалес Агиляр,"Агустин Босси, Пабло Босси, Мария Луиза Гутиэррес, Игнасио Кукукович",16+
344896,Фокстрот,2018-06-07,Служба в израильской армии.,Художественный,Кино,Цветной,1.0,112.0,HDD,"Борд Кадре Филмз, Мэтч Фэктори",Израиль - Германия - Франция - Швейцария,2017,Самуэль Маоз,"Арад Сават, Фрэнсис Содер",Самуэль Маоз,Джиора Бейач,Офир Лейбович,"Марк Башет, Виола Фюген",18+
344897,Осторожно: Грамп!,2018-06-28,Волшебство.,Анимационный,Кино,Цветной,1.0,97.0,HDD,"Анима Эстудиос, Прайм Фокус Ворлд",Великобритания - Мексика - США,2018,Андрес Кутерье,"Фронциско Альварес, Тушар Анчан, Дипан Гайар, Цраиг Келлман, Витторио Пирайно, Йохн Харвеы, Еоин Хеган",Джим Хехт,,Джеймс Сеймур Бретт,"Эдоардо Бусси, Грегори Гавански, Гай Коллинс, Билл Шульц",6+
344898,"""Державная"" Размышления 100 лет спустя",2018-06-07,Документальный фильм,Документальный,Кино,Цветной,0.0,52.0,BETACAM–кассета,"АО ""АМАЛЬГАМА СТУДИЯ""",Россия,2018,Д.Алейников,,"Д.Алейников, А.Борисова, А.Рудаков",И.Эмануэль,,"С.Новиков, А.Феофанов",12+
344899,Распрекрасный принц,2018-06-28,Спасение королевства.,Анимационный,Кино,Цветной,1.0,85.0,HDD,"Ку Медиа, Синесайт, Сториоскопик Филмз, Вангард Анимейшн ",США - Канада,2018,Росс Венокур,Мишель Бретон,Росс Венокур,,Том Хоув,Джон Х.Уильямс,6+
344900,Фото на память,2018-06-14,"Триллер, фильм ужасов. Компания молодых людей попадает в аварию, находит заброшенный дом в лесу и обнаруживает в нем фотографии своей аварии...",Художественный,Кино,Цветной,1.0,74.0,HDD,"ООО ""Лаборатория кино""",Россия,2018,А.Зенкович,А.Фатина,В.Бондарюк,А.Зенкович,А.Андреасян,"ООО ""Лаборатория кино""",16+
344903,Проводник,2018-11-29,Мистический триллер,Художественный,Кино,Цветной,1.0,89.0,Другой,"ЗАО ""Мотор фильм студия""",Россия,2018,И.Максимов,И.Трышков,"А.Курбатова, А.Топурия",Ю.Бехтерев,Д.Суров,"М.Курбатов, Г.Подземельный, Д.Фикс",16+
344905,ЗАНОВО РОДИТЬСЯ,2018-06-10,Рассказ о двух влюбленных людях,Художественный,Кино,Цветной,1.0,98.0,HDD,ИП Сайфулина Анастасия Геннадьевна,Россия,2018,"А.Петров, М.Кулагин",Д.Быков,А.Петров,"П.Белявский, Д.Цхай","группа Ocean Jet (М.Скакун, И.Чистов, Н.Дементьев)",А.Сайфулина,18+
344906,Ночная смена,2018-06-15,"Романтическая комедия. Друзья лишились работы сварщиков на заводе, один, чтобы прокормить семью, соглашается на случайное предложение одноклассницы подработать стриптезером.",Художественный,Кино,Цветной,1.0,96.0,DPX,"ООО ""НС Фильм""",Россия,2018,М.Бальчюнас,М.Бернарделли,"З.Иткина, Т.Левченко, А.Смиян",Б.Грин,,"ООО  ""НС Фильм""",18+
344907,Русский реактор,2018-06-12,О трудностях и победах русских людей,Документальный,Кино,Цветной,,,DCP,"МАНО ""НОЧНЫЕ ВОЛКИ""",Россия,2018,А.Залдастанов,А.Залдастанов,А.Залдастанов,,"С.Крыльцов, О.Воляндо",А.Залдастанов,12+
344921,Вася,2018-06-13,Драма,Художественный,Кино,Цветной,0.0,23.0,DVD,АНО ВО ГИТР,Россия,2018,А.Бушнев,А.Сняткова,А.Бушнев,И.Рыжиков,Я.Дронов,"Н.Никитина, Д.Патенко",12+
344923,Успех,2018-06-14,Комедия,Художественный,Кино,Цветной,0.0,7.0,DVD,Сунцов Валентин Валерьевич,Россия,2018,В.Сунцов,Д.Лавриков,В.Сунцов,А.Князев,"В.Лакодин, А.Хачатуров",В.Сунцов,12+
344924,Куда приводят сны,2018-06-15,Комедия,Художественный,Кино,Цветной,0.0,19.0,DVD,АНО ВО ГИТР,Россия,2018,М.Лиманский,"К.Засецкая, М.Лиманский",М.Лиманский,К.Засецкая,,П.Дудина,16+
344925,Во власти стихии,2018-06-28,Путешествие по Тихому океану.,Художественный,Кино,Цветной,1.0,99.0,HDD,"Лэйкшор Интертейнмент, Хуайи Бразерс, Эр Вэ Ка Студиоз, Эс Ти Икс Интертейнмент",США,2018,Бальтасар Кормакур,"Энди МакЛарен, Сэм Стори","Дэвид Брэнсон Смит, Аарон Канделл, Джордан Канделл",Роберт Ричардсон,Фолькер Бертельман,"Аарон Канделл, Джордан Канделл, Бальтасар Кормакур, Ральф Уинтер",16+
344926,Мир будущего,2018-06-14,Фантастика,Художественный,Кино,Цветной,1.0,90.0,HDD,"Ай Эм Би Ай Груп, Блэк Спэрроу Филмз, Дарк Рэббит Продакшнз, Премьер Пикчер",США,2018,"Джеймс Франко, Брюс Тьерри Чунг",Ив МакКарни,"Джей Дэвис, Брюс Тьерри Чунг, Джереми Чунг",Петер Цайтлингер,Тойдрам,"Моника Бакарди, Джей Дэвис, Джеймс Франко",18+
344927,Сага о чудовище. Сумерки,2018-06-21,Фантастика,Художественный,Кино,Цветной,1.0,92.0,HDD,"Мэйвен Пикчерз, Филм и Вэст, Филмгейт Филмз, Найт Фокс Интертейнмент",США,2018,Фридрих Боэм,Мэри Лена Колстон,"Фридрих Боэм, Флориан Эдер",Тоби Оливер,Пол Хаслингер,"Селин Рэттрэй, Труди Стайлер, Лив Тайлер, Шарлотта Уббен",18+
344932,Край земли,2018-06-18,"""Каждая могила - край земли"" (Иосиф Бродский). Фильм о работе могильщиков.",Документальный,Кино,Цветной,0.0,20.0,HDD,Д.Степанов,Россия,2018,Д.Степанов,А.Веревкин,Д.Степанов,"Р.Солонинкин, С.Елисеев",,Д.Степанов,12+
344934,Аферисты поневоле,2018-06-14,Комедия,Художественный,Кино,Цветной,1.0,90.0,HDD,"Отон Продакшнз, Баффало 8 Продакшнз, БондИт, Эволюшн Интертейнмент, Фортитьюд Интернэшнл, Пеликан Пойнт Медиа",США - Великобритания,2018,Джеймс Окли,Лаура Миллер,"Алекс Михаэлидес, Джеймс Окли",Джозеф Уайт,"Чарли Класферд, Захари Семан","Роберт Огден Барнум, Кассиан Элвис",18+
344935,Суперсемейка 2 / Бао,2018-06-14,Приключение,Анимационный,Кино,Цветной,2.0,125.0,HDD,"Пиксар Анимейшн Студиос, Уолт Дисней Пикчерз",США,2018,Брэд Берд,Ральф Эгглстон,Брэд Берд,,Майкл Гиаччино,"Николь Парадиз Гриндл, Джон Уокер",6+
344937,Забытые войны России,2018-06-15,Документальный фильм,Документальный,Кино,Цветной,10.0,635.0,BETACAM–кассета,"ООО ""Стар Медиа Дистрибьюшн""",Россия,2017,"П.Сергацков, А.Верещагин",А.Гиляревский,"Д.Володихин, В.Шевцов, А.Данилов","А.Кипер, И.Бархварт",Б.Кукоба,"ООО ""Стар Медиа Дистрибьюшн""",12+
344938,Эскобар,2018-06-14,Биографическая драма,Художественный,Кино,Цветной,1.0,106.0,HDD,"Эскобар Филмз, Би 2 Уай",Испания - Болгария - США,2017,Фернандо Леон Де Араноа,Ален Байне,"Фернандо Леон Де Араноа, Вирхиния Вальехо",Алекс Каталан,Федерико Хусид,"Хавьер Бардем, Калина Коттас, Эд Кэйтелл третий",18+
344939,Книжный клуб,2018-06-28,Комедия,Художественный,Кино,Цветной,1.0,103.0,HDD,"Апартмент Стори, Джун Пикчерз",США,2018,Билл Холдермэн,Рэйчел О.Тул,"Эрин Симс, Билл Холдермэн",Эндрю Данн,Питер Нашел,"Эндрю Дункан, Алекс Сакс, Билл Холдермэн",16+
344940,Фобия,2018-06-21,Триллер,Художественный,Кино,Цветной,1.0,81.0,HDD,Вудворкс Филм Компани,Норвегия,2017,Карл Кристиан Раабе,,Майя Лунде,Филип Огаард,Раймонд Эноксен,Николай Моланд,18+
344941,Обитатели,2018-07-26,Фильм ужасов,Художественный,Кино,Цветной,1.0,94.0,HDD,"Эпик Пикчерз Груп, Аватар Аудио Пост Продакшн, Боуси Воркшоп, Э Колор Студиос, Утер Лимитс Пост Продакшн, Пойнт 360, Таилред Филмз",Ирландия,2017,Брайан О.Мэлли,Джо Фалловер,Дэвид Турпин,Ричард Кендрик,"Кевин Мерфи, Дэвид Турпин, Стивен Шеннон","Рут Триси, Джулианна Форде",18+
344942,Проклятие. Кукла ведьмы,2018-06-21,Фильм ужасов,Художественный,Кино,Цветной,1.0,99.0,HDD,Эп А Ноуч Продакшн,Великобритания,2018,Лоуренс Фаулер,Руби Роулингс,Лоуренс Фаулер,Исаак Дж.Перез,Кристиан Доминго,"Дэвид Уэр, Джофф Фаулер, Лоуренс Фаулер",18+
344943,Ведьмы,2018-07-05,Фильм ужасов,Художественный,Кино,Цветной,1.0,107.0,HDD,Ди Эф Эф Би,Германия - Австрия,2018,Лукас Фейгельфилд,Дана Дюман,Лукас Фейгельфилд,Мариэль Багуэро,Свен Мюлендер,"Симон Любински, Лукас Фейгельфилд, Мириам Эйчлер",18+
344944,Вечная жизнь Александра Христофорова,2018-08-25,Комедия,Художественный,Кино,Цветной,1.0,104.0,DCP,"ООО ""58,5 ПРОДАКШН""",Россия,2018,Е.Шелякин,"А.Давааху, Н.Трубецкой","Е.Шелякин, П.Усачев, П.Виноградов, приучастии А.Гуськова",А.Гимпель,"М.Морсков, А.Федотов","А.Гуськов, Я.Драбкин",12+
344945,"Кто следующий, мечтатели?",2018-06-15,Мелодрама,Художественный,Кино,Цветной,1.0,93.0,DVD,ИП Веревкина Наталья Михайловна,Россия,2018,Н.Веревкина,Н.Опиок,"Т.Калинникова, Н.Веревкина",О.Ермилова,А.Гусев,"Т.Калинникова, Н.Веревкина",12+
344946,Каинова печать,2018-06-15,Детектив,Художественный,Кино,Цветной,3.0,189.0,HDD,"ООО ""Яуза-Фильм""",Россия,2017,В.Фатьянов,И.Мандриченко,А.Варданян,И.Бучнев,И.Духовный,"ООО ""ТВИН СП""",12+
344947,Они шли за Гитлером. История одной коалиции,2018-06-20,Документальный фильм,Документальный,Кино,Цветной,1.0,78.0,BETACAM–кассета,"ООО ""Под знаком ""Пи""",Россия,2018,М.Кузовенков,,В.Хохлов,А.Горбатов,С.Казанцев,А.Кузовенкова,12+
344948,Трудная дорога к фронту,2018-06-20,Документальный фильм,Документальный,Кино,Цветной,0.0,39.0,BETACAM–кассета,"ООО ""Под знаком ""Пи""",Россия,2018,М.Кузовенков,,Н.Марченко,А.Горбатов,С.Казанцев,А.Кузовенкова,12+
344950,8 подруг Оушена,2018-06-21,Боевик,Художественный,Кино,Цветной,1.0,110.0,HDD,"Смокхауз Пикчерз, Вилладж Роадшоу Пикчерз, Рэуэй Роад",США,2018,Гэри Росс,Алекс ДиДжерландо,"Оливия Милч, Гэри Росс",Эйгил Брилд,Дэниэл Пембертон,"Стивен Содерберг, Сьюзан Эйкинс",16+
344951,Джим Пуговка и машинист Лукас,2018-06-28,Экранизация,Художественный,Кино,Цветной,1.0,110.0,HDD,"Малао Фильм, Рэт Пэк Фильмпродуцион",Германия,2018,Деннис Ганзель,Матиас Мюссе,"Дирк Анер, Эндрю Биркин, Себастьян Нимэнн, Джеймс Харт",Торстен Бройер,Ральф Венгенмайр,"Кристиан Бекер, Маттиас Розенберг",6+
344952,Предложение,2018-06-21,Комедийная драма. Неудачливый актер собирается сделать предложение своей девушке.,Художественный,Кино,Цветной,0.0,14.0,HDD,"ООО ""Киношкола имени Сергея Федоровича Бондарчука""",Россия,2018,А.Поздняков,,А.Поздняков,Б.Коростышевский,Е.Летов,"ООО ""Киношкола имени Сергея Федоровича Бондарчука""",18+
344953,Принцесса и Волшебница,2018-06-21,Анимация для детей,Анимационный,Кино,Цветной,0.0,26.0,Другой,"ООО Кинокомпания ""Вектор""",Россия,2018,М.Новикова,Е.Кошель,М.Новикова,,,В.Коханович,6+
344954,"Киноальманах авторских фильмов ""Зеркало"" № 4",2018-06-22,Анимация,Анимационный,Кино,Цветной,0.0,33.0,BETACAM–кассета,"ООО Кинокомпания ""АНИМОС""",Россия,2018,"О.Холодова, Е.Савина, А.Чернова, Н.Рысс, А.Дёмин","О.Холодова, Е.Савина, А.Чернова, Н.Рысс, А.Дёмин, Е.Узденикова","О.Холодова, Е.Савина, А.Чернова, Н.Рысс, А.Дёмин",,"В.Филатов, У.Стратонитская",Е.Савин,16+
344955,Подвал,2018-11-01,"Психологическая драма о похищении и убийстве девушке и о том, как далеко может зайти отмщение ее родителей.",Художественный,Кино,Цветной,1.0,114.0,HDD,"ООО ""Кинокомпания ""Гейт"", Furia Film, 8Heads Productions",Россия-Словакия-Чехия,2017,И.Волошин,Мирослав Крал,Ричард Пупала,Мартин Жиаран,Михал Ратай,"Л.Филусова, Ж.Тедеева-Калинина, А.Воронкова, А.Гутовская, И.Волошин, Д.Сичел",18+
344956,Конфуз,2018-06-22,Комедия,Художественный,Кино,Цветной,0.0,13.0,DVD,"ООО ""Икс-Соул Продакшн""",Россия,2018,И.Басенко (псевдоним - Ирина Бас),Ю.Широкова,"И.Басенко (псевдоним - Ирина Бас), Н.Грамматиков",Е.Орловская,Н.Алексеенко,И.Шерстобитов,16+
344957,Вдохновенный свидетель Истины,2018-06-25,Документальный фильм,Документальный,Кино,Цветной,0.0,44.0,DVD,Сутормин Алексей Анатольевич,Россия,2018,А.Сутормин,,А.Сутормин,В.Тухарели,,А.Сутормин,12+
344960,Ван Гог: Золото и лазурь,2018-06-21,Жизнь и творчество знаменитого художника.,Прочее,Кино,Цветной,1.0,90.0,HDD,"3D Продуциони, Нексо Диджитал",Италия,2018,Джованни Пискалья,Джованни Пискалья,Маттео Монета,Лоренцо Джиромини,Ремо Анцовино,Вероника Ботанелли,16+
344961,Горы,2018-06-21,Природное творение.,Прочее,Кино,Цветной,1.0,74.0,HDD,Мэдман Интертейнмент,Австралия,2017,Дженнифер Пидом,Скотт Грэй,"Роберт Макфарлейн, Дженнифер Пидом",Ренан Озтурк,Ричард Тоньетти,"Джо-Энн Макгоун, Дженнифер Пидом",6+
344962,Домой,2018-06-25,"Драма о гражданке Узбекистана, незаконно пересекшей границу, чтобы увидеться с дочерью.",Художественный,Кино,Цветной,0.0,18.0,HDD,"ООО ""МОНАРХ""",Россия,2017,Д.Гринькин,М.Ермолаева,Д.Гринькин,М.Гудаков,Елиас Тадеус,"А.Калинин, С.Бордачев",12+
344963,План побега 2,2018-06-28,Боевик,Художественный,Кино,Цветной,1.0,95.0,HDD,"Эмметт, Фурла, Оазис Филмз, Гриндстоун Интертейнмент Груп, Леомус Пикчерз, Лионсгейт, Физ Фасилити",КНР - США,2018,Стивен С.Миллер,Нико Вилейвонгс,Майлз Чэпман,Брэндон Ли Кокс,,"Робби Бреннер, Марк Кантон",18+
344964,Попробуй подкати,2018-07-05,Комедия,Художественный,Кино,Цветной,1.0,107.0,HDD,"Гомон, Ля Боети Филмз, Пур Туа Публик Продюксьон, ТФ1 Фильм Продюксьон, Некс Фэктори, Юмедиа, Юфонд, Антураж Пикчерз, Сине +",Франция - Бельгия,2018,Франк Дюбоск,Жереми Дюше,Франк Дюбоск,Людовик Колбо-Жюстин,,Сидони Дюма,16+
344967,Месяц ясный,2018-06-28,Фильм-сказка.,Анимационный,Кино,Цветной,0.0,10.0,BETACAM–кассета,"АО ""ТПО ""Киностудия им.М.Горького""",Россия,2018,Р.Гиматдинова,,Р.Гиматдинова,,,С.Зернов,0+
344971,Мультобоз. Программа 1,2018-07-19,Мультсборник,Анимационный,Кино,Цветной,1.0,66.0,HDD,"АНО Школа-студия анимационного кино ""ШАР""",Россия,2018,"Е.Киреева, Т.Кисилева, Е.Нестерова, А.Панкратов, О.Сивакова-Васина, А.Романова и др.","Е.Киреева, Т.Кисилева, Е.Нестерова, О.Сивакова-Васина, А.Романова и др.","Е.Киреева, Т.Кисилева, Е.Нестерова, А.Панкратов, А.Романова и др.",,"А.Вишняков, М.Ушенина, В.Белов, А.Панкратов, А.Фадеев, И.Жук и др.","Н.Маковский, Л.Гайдукова, АНО Школа-студия анимационного кино ""ШАР""",12+
344972,Мультобоз. Программа 2,2018-07-19,Мультсборник,Анимационный,Кино,Цветной,1.0,62.0,HDD,"АНО Школа-студия анимационного кино ""ШАР""",Россия,2018,"Е.Астрецова, Е.Фадеев, В.Карнавалова, Е.Филиппова, А.Веселов, И.Максимов и др.","Е.Астрецова, Е.Фадеев, В.Карнавалова, Е.Филиппова, А.Веселов, И.Максимов и др.","Е.Астрецова, Е.Фадеев, В.Карнавалова, Е.Филиппова, А.Веселов, И.Максимов и др.",,"М.Ушенина, В.Белов, А.Панкратов, А.Чирков, В.Цирин, А.Дьяков и др.","Л.Гайдукова, АНО Школа-студия анимационного кино ""ШАР""",12+
