,Название фильма,Дата начала показа фильма,Аннотация,Вид Фильма,Категория,Цвет,"Продолжительность демонстрации, часы","Продолжительность демонстрации, минуты",Формат носителя,Студия-производитель,Страна производства,Год производства,Режиссер,Художник,Сценарист,Оператор,Композитор,Продюсер,Возрастная категория
345246,"Не волнуйся, он далеко не уйдет",2018-08-19,Драма,Художественный,Кино,Цветной,1.0,114.0,HDD,"Амазон Студиос, Анонимус Контент, Биг Индие Пикчерз, Иконокласт",США,2018,Гас Ван Сент,Джахмин Асса,"Гас Ван Сент, Джек Гибсон, Виллиам Эндрю Итман",Крис Бловелт,Дэнни Элфман,"Чарльз Антониоз, Мурад Белкедар, Бретт Крэнфорд",18+
345247,Дежурство,2018-08-17,Драма,Художественный,Кино,Цветной,0.0,8.0,Другой,ИП Фролова Наталья Александровна,Россия,2018,Н.Фролова (псевдоним Камалов Ленар),В.Огай,Н.Фролова (псевдоним Камалов Ленар),В.Лисневский,,Н.Фролова,12+
345248,Сердце из стали,2018-08-30,Триллер,Художественный,Кино,Цветной,1.0,104.0,HDD,"Хейи Пикчерз, Спаркл Ролл Медиа, Вилладж Роадшоу Пикчерз Эйжа, 58 Пикчерз, Дэди Филм Груп, Фанчиш Медиа Тэш, ВанДа Пикчерз",КНР - Гонконг,2017,Лео Жанг,Макс Хуанг,"Цуй Сывэй, Эрика Сяхоу","Тони Чун, Джек Цзянь",Фэй Пенг,"Пол Карри, Айлин Ли, Хавьер Чжан",18+
345250,Слендермен,2018-08-16,Триллер,Художественный,Кино,Цветной,1.0,93.0,HDD,"Митолоджи Интертейнмент, Мэдхаус Интертейнмент",США,2018,Силвейн Уайт,Джереми Вудворд,"Дэвид Бирк, Виктор Сердж",Лука Делль Пуппо,Брендон Кэмпбелл,"Джеймс Вандербилт, Робин Мейсингер, Сара Сноу, Уильям Ширак",16+
345253,Шоу Мистико,2018-08-23,Экранизация,Художественный,Кино,Цветной,1.0,105.0,HDD,"Фадо Филм, Луш Мажика Продусойнш, Милонга Продюксьон",Бразилия - Португалия - Франция,2018,Карлус Диегос,Артур Пиньейро,"Карлус Диегис, Джордж Мора",Густаво Хадба,"Шико Буарке, Эду Лобо",Рената Альмейда Магалхаес,18+
345255,МУЛЬТ в кино. Выпуск № 79,2018-08-18,Мультсборник,Анимационный,Кино,Цветной,,,DPX,"ООО ""Мульт в кино"" ",Россия,2018,О.Семёнова  ,,В.Гизатуллин ,,"С.Боголюбский, Д.Ставрович",П.Смирнов,0+
345256,"Шпион, который меня кинул",2018-08-09,Комедийный боевик,Художественный,Кино,Цветной,1.0,116.0,HDD,"Имэджин Интертейнмент, Лайнсгейт",США,2018,Сузанна Фогель,Марк Хоумс,"Дэвид Исерсон, Сузанна Фогель",Роберт Харди,Тайлер Бейтс,"Тина Андерсон, Брайан Грейзер, Эрика Хаггинс",16+
345257,На опушке леса,2018-08-10,Анимация для детей,Анимационный,Кино,Цветной,0.0,26.0,BETACAM–кассета,"ООО ""Веста продакшн""",Россия,2018,В.Приходько,Е.Кошель,В.Приходько,,,Д.Шишкина,6+
345258,В поисках йети,2018-08-09,Приключения,Художественный,Кино,Цветной,1.0,80.0,HDD,Продюксьон 10 Авеню,Канада,2017,"Пьер Греко, Нэнси Севард",Филипп Арсно Бюссьере,"Пьер Греко, Андре Моренси",,Оливье Ориоль,Нэнси Севард,6+
345259,Бергман,2018-08-09,Биография,Прочее,Кино,Цветной,1.0,117.0,HDD,"Би Рил Филмз, Мэтч Фэктори",Швеция - Норвегия,2018,Яне Магнуссон,Увар Анклев,Яне Магнуссон,Эмиль Кланг,Йонас Бекман,Фредерик Хейниг,12+
345261,СЕКС МОДА ДИСКО,2018-09-13,Модный иллюстратор.,Прочее,Кино,Цветной,1.0,95.0,HDD,Саммитридж Пикчерз,США,2017,Джеймс Крамп,,Джеймс Крамп,Роберт О'Хэир,,"Джеймс Крамп, Ронни Сассон",18+
345263,Род,2018-08-19,Драма,Художественный,Кино,Цветной,0.0,30.0,DVD,Нелидова Элен Дмитриевна,Россия,2018,Э.Нелидова,"А.Воложенинова, Ю.Орлова","Д.Варламова, Э.Нелидова",Е.Авдонина (псевдоним - Александра Авдонина),А.Бородин,"О.Хлопунова, Э.Нелидова",16+
345271,Снова и снова...,2018-08-20,Драма,Художественный,Кино,Цветной,0.0,30.0,DVD,Шмелёв Никита Евгеньевич,Россия,2018,Н.Шмелёв,С.Бабайцева,Н.Шмелёв,К.Каширин,Е.Абрамов,Н.Шмелёв,12+
345272,Прятки,2018-08-17,Драма,Художественный,Кино,Цветной,0.0,16.0,DVD,Остапенко Анастасия Григорьевна,Россия,2018,А.Остапенко,А.Остапенко,А.Остапенко,А.Остапенко,,А.Остапенко,12+
